"","latitude","longitude","stopName","stopID","maxLat","minLat","maxLon","minLon"
"1",40.799494,-73.968308,"103rd St",22,40.801294,40.797694,-73.966508,-73.970108
"2",40.790697,-73.947472,"103rd St",120,40.792497,40.788897,-73.945672,-73.949272
"3",40.749804,-73.862436,"103rd St",173,40.751604,40.748004,-73.860636,-73.864236
"4",40.796185,-73.961448,"103rd St",191,40.797985,40.794385,-73.959648,-73.963248
"5",40.694955,-73.844727,"104-102nd Sts",327,40.696755,40.693155,-73.842927,-73.846527
"6",40.681701,-73.838032,"104th St",238,40.683501,40.679901,-73.836232,-73.839832
"7",40.795213,-73.944126,"110th St",121,40.797013,40.793413,-73.942326,-73.945926
"8",40.799098,-73.951899,"110th St-Central Park N",39,40.800898,40.797298,-73.950099,-73.953699
"9",40.75161,-73.855211,"111st St",174,40.75341,40.74981,-73.853411,-73.857011
"10",40.684071,-73.832541,"111st St",239,40.685871,40.682271,-73.830741,-73.834341
"11",40.69725,-73.836895,"111st St",328,40.69905,40.69545,-73.835095,-73.838695
"12",40.802443,-73.94947,"116th St",40,40.804243,40.800643,-73.94767,-73.95127
"13",40.798721,-73.941619,"116th St",122,40.800521,40.796921,-73.939819,-73.943419
"14",40.805088,-73.954872,"116th St",193,40.806888,40.803288,-73.953072,-73.956672
"15",40.807928,-73.963919,"116th St-Columbia Univ",24,40.809728,40.806128,-73.962119,-73.965719
"16",40.700342,-73.828714,"121st St",329,40.702142,40.698542,-73.826914,-73.830514
"17",40.815636,-73.958296,"125th St",25,40.817436,40.813836,-73.956496,-73.960096
"18",40.807885,-73.94545,"125th St",41,40.809685,40.806085,-73.94365,-73.94725
"19",40.804402,-73.937492,"125th St",123,40.806202,40.802602,-73.935692,-73.939292
"20",40.811296,-73.9522,"125th St",194,40.813096,40.809496,-73.9504,-73.954
"21",40.814148,-73.940877,"135th St",42,40.815948,40.812348,-73.939077,-73.942677
"22",40.817941,-73.947618,"135th St",195,40.819741,40.816141,-73.945818,-73.949418
"23",40.821459,-73.954062,"137th St",26,40.823259,40.819659,-73.952262,-73.955862
"24",40.813367,-73.930042,"138th St-Grand Concourse",124,40.815167,40.811567,-73.928242,-73.931842
"25",40.826606,-73.950331,"145th St",27,40.828406,40.824806,-73.948531,-73.952131
"26",40.820501,-73.936284,"145th St",43,40.822301,40.818701,-73.934484,-73.938084
"27",40.82498,-73.944056,"145th St",196,40.82678,40.82318,-73.942256,-73.945856
"28",40.823832,-73.936207,"148th St",44,40.825632,40.822032,-73.934407,-73.938007
"29",40.818433,-73.927439,"149th St-Grand Concourse",125,40.820233,40.816633,-73.925639,-73.929239
"30",40.818484,-73.926989,"149th St-Grand Concourse",45,40.820284,40.816684,-73.925189,-73.928789
"31",40.73865,-73.995862,"14th St-6-7th Aves",293,40.74045,40.73685,-73.994062,-73.997662
"32",40.74536,-73.998488,"14th St-8th Ave",182,40.74716,40.74356,-73.996688,-74.000288
"33",40.830335,-73.937979,"155th St",205,40.832135,40.828535,-73.936179,-73.939779
"34",40.830874,-73.941342,"155th St",197,40.832674,40.829074,-73.939542,-73.943142
"35",40.834143,-73.944819,"157th St",28,40.835943,40.832343,-73.943019,-73.946619
"36",40.660786,-73.980044,"15th St",342,40.662586,40.658986,-73.978244,-73.981844
"37",40.828127,-73.925904,"161st St-Yankee Stadium",126,40.829927,40.826327,-73.924104,-73.927704
"38",40.836164,-73.939974,"163rd St",198,40.837964,40.834364,-73.938174,-73.941774
"39",40.835704,-73.921244,"167th St",127,40.837504,40.833904,-73.919444,-73.923044
"40",40.834004,-73.918225,"167th St",207,40.835804,40.832204,-73.916425,-73.920025
"41",40.840926,-73.939507,"168th St-Broadway",199,40.842726,40.839126,-73.937707,-73.941307
"42",40.710468,-73.793563,"169th St",276,40.712268,40.708668,-73.791763,-73.795363
"43",40.840153,-73.917655,"170th St",128,40.841953,40.838353,-73.915855,-73.919455
"44",40.839435,-73.913304,"170th St",208,40.841235,40.837635,-73.911504,-73.915104
"45",40.845689,-73.910383,"174-175th Sts",209,40.847489,40.843889,-73.908583,-73.912183
"46",40.837393,-73.887711,"174th St-Southern Blvd",52,40.839193,40.835593,-73.885911,-73.889511
"47",40.847652,-73.939612,"175th St",200,40.849452,40.845852,-73.937812,-73.941412
"48",40.84857,-73.911638,"176th St",130,40.85037,40.84677,-73.909838,-73.913438
"49",40.712598,-73.783972,"179th St",277,40.714398,40.710798,-73.782172,-73.785772
"50",40.849884,-73.933276,"181st St",30,40.851684,40.848084,-73.931476,-73.935076
"51",40.852128,-73.937812,"181st St",201,40.853928,40.850328,-73.936012,-73.939612
"52",40.856355,-73.900565,"182-183rd Sts",211,40.858155,40.854555,-73.898765,-73.902365
"53",40.858698,-73.9037,"183rd St",132,40.860498,40.856898,-73.9019,-73.9055
"54",40.629751,-73.977035,"18th Ave",346,40.631551,40.627951,-73.975235,-73.978835
"55",40.608011,-74.001721,"18th Ave",419,40.609811,40.606211,-73.999921,-74.003521
"56",40.620709,-73.990533,"18th Ave",427,40.622509,40.618909,-73.988733,-73.992333
"57",40.741029,-73.997814,"18th St-7th Ave",10,40.742829,40.739229,-73.996014,-73.999614
"58",40.858841,-73.934339,"190th St",202,40.860641,40.857041,-73.932539,-73.936139
"59",40.855574,-73.929116,"191st St",31,40.857374,40.853774,-73.927316,-73.930916
"60",40.731336,-73.982536,"1st Ave-14th St",441,40.733136,40.729536,-73.980736,-73.984336
"61",40.875014,-73.87943,"205th St",215,40.876814,40.873214,-73.87763,-73.88123
"62",40.86507,-73.918415,"207th St",33,40.86687,40.86327,-73.916615,-73.920215
"63",40.868108,-73.919736,"207th St-Washington Hts",204,40.869908,40.866308,-73.917936,-73.921536
"64",40.604688,-73.998422,"20th Ave",420,40.606488,40.602888,-73.996622,-74.000222
"65",40.617441,-73.985014,"20th Ave",428,40.619241,40.615641,-73.983214,-73.986814
"66",40.869555,-73.915163,"215th St",34,40.871355,40.867755,-73.913363,-73.916963
"67",40.883528,-73.862756,"219th St",60,40.885328,40.881728,-73.860956,-73.864556
"68",40.743741,-73.949454,"21st St (Van Alst)",288,40.745541,40.741941,-73.947654,-73.951254
"69",40.753621,-73.942198,"21st St-Queensbridge",466,40.755421,40.751821,-73.940398,-73.943998
"70",40.874634,-73.909629,"225th St",35,40.876434,40.872834,-73.907829,-73.911429
"71",40.888227,-73.860216,"225th St",61,40.890027,40.886427,-73.858416,-73.862016
"72",40.878977,-73.90476,"231st St",36,40.880777,40.877177,-73.90296,-73.90656
"73",40.893302,-73.857375,"233rd St",62,40.895102,40.891502,-73.855575,-73.859175
"74",40.885019,-73.90069,"238th St",37,40.886819,40.883219,-73.89889,-73.90249
"75",40.898417,-73.854239,"238th St",63,40.900217,40.896617,-73.852439,-73.856039
"76",40.742939,-73.99281,"23rd St-6th Ave",294,40.744739,40.741139,-73.99101,-73.99461
"77",40.744118,-73.99559,"23rd St-7th Ave",11,40.745918,40.742318,-73.99379,-73.99739
"78",40.741065,-74.001525,"23rd St-8th Ave",181,40.742865,40.739265,-73.999725,-74.003325
"79",40.741399,-73.989253,"23rd St-Broadway",368,40.743199,40.739599,-73.987453,-73.991053
"80",40.746635,-73.945156,"23rd St-Ely Ave-Court Sq",161,40.748435,40.744835,-73.943356,-73.946956
"81",40.747467,-73.945571,"23rd St-Ely Ave-Court Sq",257,40.749267,40.745667,-73.943771,-73.947371
"82",40.740185,-73.986365,"23rd St-Park Ave S",110,40.741985,40.738385,-73.984565,-73.988165
"83",40.903401,-73.850398,"241st St",64,40.905201,40.901601,-73.848598,-73.852198
"84",40.889438,-73.898408,"242nd St",38,40.891238,40.887638,-73.896608,-73.900208
"85",40.597869,-73.986911,"25th Ave",422,40.599669,40.596069,-73.985111,-73.988711
"86",40.660282,-73.998106,"25th St",403,40.662082,40.658482,-73.996306,-73.999906
"87",40.747181,-73.993321,"28th St-7th Ave",12,40.748981,40.745381,-73.991521,-73.995121
"88",40.74538,-73.988663,"28th St-Broadway",367,40.74718,40.74358,-73.986863,-73.990463
"89",40.743335,-73.984055,"28th St-Park Ave S",111,40.745135,40.741535,-73.982255,-73.985855
"90",40.723418,-73.990255,"2nd Ave-Houston St",299,40.725218,40.721618,-73.988455,-73.992055
"91",40.766503,-73.921395,"30th Ave",358,40.768303,40.764703,-73.919595,-73.923195
"92",40.744368,-73.930814,"33rd St",163,40.746168,40.742568,-73.929014,-73.932614
"93",40.746415,-73.981829,"33rd St-Park Ave",112,40.748215,40.744615,-73.980029,-73.983629
"94",40.749824,-73.98777,"34th St-6th Ave",295,40.751624,40.748024,-73.98597,-73.98957
"95",40.750868,-73.990645,"34th St-7th Ave",13,40.752668,40.749068,-73.988845,-73.992445
"96",40.752195,-73.993472,"34th St-8th Ave",183,40.753995,40.750395,-73.991672,-73.995272
"97",40.756616,-73.929445,"36th Ave",356,40.758416,40.754816,-73.927645,-73.931245
"98",40.751834,-73.928692,"36th St",259,40.753634,40.750034,-73.926892,-73.930492
"99",40.655104,-74.00358,"36th St",404,40.656904,40.653304,-74.00178,-74.00538
"100",40.752571,-73.932712,"39 Ave",355,40.754371,40.750771,-73.930912,-73.934512
"101",40.810529,-73.926275,"3rd Ave-138th St",138,40.812329,40.808729,-73.924475,-73.928075
"102",40.816144,-73.917895,"3rd Ave-149th St",46,40.817944,40.814344,-73.916095,-73.919695
"103",40.733312,-73.987154,"3rd Ave-14th St",440,40.735112,40.731512,-73.985354,-73.988954
"104",40.743629,-73.923925,"40th St",164,40.745429,40.741829,-73.922125,-73.925725
"105",40.753944,-73.982109,"42nd St-5th Ave-6th Ave",157,40.755744,40.752144,-73.980309,-73.983909
"106",40.754227,-73.984614,"42nd St-5th Ave-6th Ave",296,40.756027,40.752427,-73.982814,-73.986414
"107",40.64887,-74.010136,"45th St",405,40.65067,40.64707,-74.008336,-74.011936
"108",40.742952,-73.918321,"46th St",165,40.744752,40.741152,-73.916521,-73.920121
"109",40.75625,-73.913036,"46th St",261,40.75805,40.75445,-73.911236,-73.914836
"110",40.758629,-73.981273,"47-50th Sts-Rockefeller Center",297,40.760429,40.756829,-73.979473,-73.983073
"111",40.759812,-73.984143,"49th St-7th Ave",364,40.761612,40.758012,-73.982343,-73.985943
"112",40.636174,-73.994781,"50th St",414,40.637974,40.634374,-73.992981,-73.996581
"113",40.762597,-73.985815,"50th St-8th Ave",185,40.764397,40.760797,-73.984015,-73.987615
"114",40.761783,-73.983822,"50th St-Broadway",15,40.763583,40.759983,-73.982022,-73.985622
"115",40.743977,-73.912347,"52nd St",166,40.745777,40.742177,-73.910547,-73.914147
"116",40.645101,-74.0141,"53rd St",406,40.646901,40.643301,-74.0123,-74.0159
"117",40.631579,-73.995423,"55th St",415,40.633379,40.629779,-73.993623,-73.997223
"118",40.764026,-73.977391,"57th St-6th Ave",298,40.765826,40.762226,-73.975591,-73.979191
"119",40.764632,-73.98066,"57th St-7th Ave",363,40.766432,40.762832,-73.97886,-73.98246
"120",40.641269,-74.018086,"59th St",407,40.643069,40.639469,-74.016286,-74.019886
"121",40.768044,-73.981955,"59th St-Columbus Circle",16,40.769844,40.766244,-73.980155,-73.983755
"122",40.762573,-73.967905,"59th St-Lexington Ave",115,40.764373,40.760773,-73.966105,-73.969705
"123",40.762783,-73.96753,"59th St-Lexington Ave",361,40.764583,40.760983,-73.96573,-73.96933
"124",40.760425,-73.975806,"5th Ave-53rd St",255,40.762225,40.758625,-73.974006,-73.977606
"125",40.764955,-73.973535,"5th Ave-60th St",362,40.766755,40.763155,-73.971735,-73.975335
"126",40.745402,-73.903138,"61st St",167,40.747202,40.743602,-73.901338,-73.904938
"127",40.729829,-73.861657,"63rd Dr",268,40.731629,40.728029,-73.859857,-73.863457
"128",40.749479,-73.898244,"65th St",263,40.751279,40.747679,-73.896444,-73.900044
"129",40.773463,-73.982193,"66th St",17,40.775263,40.771663,-73.980393,-73.983993
"130",40.726479,-73.852616,"67th Ave",269,40.728279,40.724679,-73.850816,-73.854416
"131",40.768185,-73.963767,"68th St",116,40.769985,40.766385,-73.961967,-73.965567
"132",40.746177,-73.896183,"69th St",168,40.747977,40.744377,-73.894383,-73.897983
"133",40.721609,-73.844778,"71-Continental Aves",270,40.723409,40.719809,-73.842978,-73.846578
"134",40.619721,-73.998813,"71st St",417,40.621521,40.617921,-73.997013,-74.000613
"135",40.778666,-73.981876,"72nd St",18,40.780466,40.776866,-73.980076,-73.983676
"136",40.776213,-73.975972,"72nd St",187,40.778013,40.774413,-73.974172,-73.977772
"137",40.746686,-73.891274,"74th St-Roosevelt Ave",169,40.748486,40.744886,-73.889474,-73.893074
"138",40.718357,-73.83737,"75th Ave",271,40.720157,40.716557,-73.83557,-73.83917
"139",40.773671,-73.959876,"77th St",117,40.775471,40.771871,-73.958076,-73.961676
"140",40.629647,-74.025652,"77th St",409,40.631447,40.627847,-74.023852,-74.027452
"141",40.783831,-73.980098,"79th St",19,40.785631,40.782031,-73.978298,-73.981898
"142",40.613394,-74.000626,"79th St",418,40.615194,40.611594,-73.998826,-74.002426
"143",40.666149,-73.980021,"7th Ave",341,40.667949,40.664349,-73.978221,-73.981821
"144",40.677142,-73.972585,"7th Ave",381,40.678942,40.675342,-73.970785,-73.974385
"145",40.762953,-73.981892,"7th Ave-53rd St",254,40.764753,40.761153,-73.980092,-73.983692
"146",40.679152,-73.859205,"80th St",235,40.680952,40.677352,-73.857405,-73.861005
"147",40.781504,-73.97225,"81st St",188,40.783304,40.779704,-73.97045,-73.97405
"148",40.747419,-73.883573,"82nd St-Jackson Hts",170,40.749219,40.745619,-73.881773,-73.885373
"149",40.788606,-73.976203,"86th St",20,40.790406,40.786806,-73.974403,-73.978003
"150",40.779526,-73.955514,"86th St",118,40.781326,40.777726,-73.953714,-73.957314
"151",40.785936,-73.968978,"86th St",189,40.787736,40.784136,-73.967178,-73.970778
"152",40.592795,-73.978246,"86th St",432,40.594595,40.590995,-73.976446,-73.980046
"153",40.622467,-74.02855,"86th St",410,40.624267,40.620667,-74.02675,-74.03035
"154",40.679662,-73.851705,"88th St",236,40.681462,40.677862,-73.849905,-73.853505
"155",40.634999,-74.011586,"8th Ave",424,40.636799,40.633199,-74.009786,-74.013386
"156",40.730611,-73.992404,"8th St-Broadway",370,40.732411,40.728811,-73.990604,-73.994204
"157",40.646092,-73.994779,"9 Ave",412,40.647892,40.644292,-73.992979,-73.996579
"158",40.748383,-73.876395,"90th St-Elmhurst Ave",171,40.750183,40.746583,-73.874595,-73.878195
"159",40.616621,-74.030851,"95th St",411,40.618421,40.614821,-74.029051,-74.032651
"160",40.793966,-73.97224,"96th St",21,40.795766,40.792166,-73.97044,-73.97404
"161",40.785867,-73.95091,"96th St",119,40.787667,40.784067,-73.94911,-73.95271
"162",40.791715,-73.964717,"96th St",190,40.793515,40.789915,-73.962917,-73.966517
"163",40.670931,-73.988213,"9th St-4 Ave",401,40.672731,40.669131,-73.986413,-73.990013
"164",40.676974,-73.898995,"Alabama Ave",319,40.678774,40.675174,-73.897195,-73.900795
"165",40.865437,-73.867379,"Allerton Ave",57,40.867237,40.863637,-73.865579,-73.869179
"166",40.667763,-73.834175,"Aqueduct-North Conduit Ave",241,40.669563,40.665963,-73.832375,-73.835975
"167",40.730634,-73.990565,"Astor Place",108,40.732434,40.728834,-73.988765,-73.992365
"168",40.769964,-73.917363,"Astoria Blvd",359,40.771764,40.768164,-73.915563,-73.919163
"169",40.675356,-73.903277,"Atlantic Ave",455,40.677156,40.673556,-73.901477,-73.905077
"170",40.684495,-73.97684,"Atlantic Ave-Pacific St",380,40.686295,40.682695,-73.97504,-73.97864
"171",40.629256,-73.961779,"Ave H",388,40.631056,40.627456,-73.959979,-73.963579
"172",40.625373,-73.976192,"Ave I",347,40.627173,40.623573,-73.974392,-73.977992
"173",40.624723,-73.960863,"Ave J",389,40.626523,40.622923,-73.959063,-73.962663
"174",40.617638,-73.959544,"Ave M",390,40.619438,40.615838,-73.957744,-73.961344
"175",40.614662,-73.974168,"Ave N",349,40.616462,40.612862,-73.972368,-73.975968
"176",40.608892,-73.973102,"Ave P",350,40.610692,40.607092,-73.971302,-73.974902
"177",40.596256,-73.973299,"Ave U",352,40.598056,40.594456,-73.971499,-73.975099
"178",40.597635,-73.979258,"Ave U",431,40.599435,40.595835,-73.977458,-73.981058
"179",40.599619,-73.956077,"Ave U",392,40.601419,40.597819,-73.954277,-73.957877
"180",40.589402,-73.97417,"Ave X",353,40.591202,40.587602,-73.97237,-73.97597
"181",40.588922,-73.98361,"Bay 50th St",423,40.590722,40.587122,-73.98181,-73.98541
"182",40.601967,-73.993859,"Bay Pkwy",421,40.603767,40.600167,-73.992059,-73.995659
"183",40.611826,-73.982077,"Bay Pkwy",429,40.613626,40.610026,-73.980277,-73.983877
"184",40.620983,-73.975315,"Bay Pkwy-22nd Ave",348,40.622783,40.619183,-73.973515,-73.977115
"185",40.634878,-74.023489,"Bay Ridge Ave",408,40.636678,40.633078,-74.021689,-74.025289
"186",40.878721,-73.838557,"Baychester Ave",67,40.880521,40.876921,-73.836757,-73.840357
"187",40.583238,-73.827484,"Beach 105th St",252,40.585038,40.581438,-73.825684,-73.829284
"188",40.599934,-73.761451,"Beach 25th St",248,40.601734,40.598134,-73.759651,-73.763251
"189",40.59536,-73.768139,"Beach 36th St",247,40.59716,40.59356,-73.766339,-73.769939
"190",40.593003,-73.775843,"Beach 44th St",246,40.594803,40.591203,-73.774043,-73.777643
"191",40.592447,-73.788457,"Beach 60th St",245,40.594247,40.590647,-73.786657,-73.790257
"192",40.590899,-73.79661,"Beach 67th St",244,40.592699,40.589099,-73.79481,-73.79841
"193",40.588064,-73.813436,"Beach 90th St",250,40.589864,40.586264,-73.811636,-73.815236
"194",40.58525,-73.820323,"Beach 98th St",251,40.58705,40.58345,-73.818523,-73.822123
"195",40.717247,-73.956738,"Bedford Ave",442,40.719047,40.715447,-73.954938,-73.958538
"196",40.873311,-73.890693,"Bedford Park Blvd",135,40.875111,40.871511,-73.888893,-73.892493
"197",40.872964,-73.887288,"Bedford Park Blvd",214,40.874764,40.871164,-73.885488,-73.889088
"198",40.689616,-73.953507,"Bedford-Nostrand Aves",281,40.691416,40.687816,-73.951707,-73.955307
"199",40.6808,-73.975069,"Bergen St",77,40.6826,40.679,-73.973269,-73.976869
"200",40.686025,-73.990721,"Bergen St",337,40.687825,40.684225,-73.988921,-73.992521
"201",40.645297,-73.948861,"Beverley Rd",95,40.647097,40.643497,-73.947061,-73.950661
"202",40.644163,-73.964444,"Beverley Rd",385,40.645963,40.642363,-73.962644,-73.966244
"203",40.669879,-73.959352,"Botanic Garden",433,40.671679,40.668079,-73.957552,-73.961152
"204",40.720312,-73.994024,"Bowery",307,40.722112,40.718512,-73.992224,-73.995824
"205",40.705078,-74.013934,"Bowling Green",101,40.706878,40.703278,-74.012134,-74.015734
"206",40.577717,-73.960939,"Brighton Beach",395,40.579517,40.575917,-73.959139,-73.962739
"207",40.608085,-73.815542,"Broad Channel",243,40.609885,40.606285,-73.813742,-73.817342
"208",40.707147,-74.010716,"Broad St",303,40.708947,40.705347,-74.008916,-74.012516
"209",40.706182,-73.950257,"Broadway",284,40.707982,40.704382,-73.948457,-73.952057
"210",40.761397,-73.925439,"Broadway",357,40.763197,40.759597,-73.923639,-73.927239
"211",40.849322,-73.868832,"Bronx Park East",55,40.851122,40.847522,-73.867032,-73.870632
"212",40.80754,-73.919257,"Brook Ave",139,40.80934,40.80574,-73.917457,-73.921057
"213",40.846756,-73.832613,"Buhre Ave",154,40.848556,40.844956,-73.830813,-73.834413
"214",40.871413,-73.867147,"Burke Ave",58,40.873213,40.869613,-73.865347,-73.868947
"215",40.853836,-73.907312,"Burnside Ave",131,40.855636,40.852036,-73.905512,-73.909112
"216",40.682968,-73.905283,"Bushwick Ave",453,40.684768,40.681168,-73.903483,-73.907083
"217",40.725913,-73.996357,"Bway-Lafayette St-Bleecker St",291,40.727713,40.724113,-73.994557,-73.998157
"218",40.72631,-73.99435,"Bway-Lafayette St-Bleecker St",107,40.72811,40.72451,-73.99255,-73.99615
"219",40.721342,-74.005294,"Canal-Church Sts",178,40.723142,40.719542,-74.003494,-74.007094
"220",40.72317,-74.006179,"Canal-Varick Sts",6,40.72497,40.72137,-74.004379,-74.007979
"221",40.680186,-73.994907,"Carroll St",338,40.681986,40.678386,-73.993107,-73.996707
"222",40.834203,-73.851501,"Castle Hill Ave",150,40.836003,40.832403,-73.849701,-73.853301
"223",40.804109,-73.966742,"Cathedral Pkwy",23,40.805909,40.802309,-73.964942,-73.968542
"224",40.800591,-73.958153,"Cathedral Pkwy",192,40.802391,40.798791,-73.956353,-73.959953
"225",40.697873,-73.927706,"Central Ave",330,40.699673,40.696073,-73.925906,-73.929506
"226",40.716005,-74.008796,"Chambers St-W Broadway",4,40.717805,40.714205,-74.006996,-74.010596
"227",40.713556,-74.004153,"Chambers-Brooklyn Bridge",104,40.715356,40.711756,-74.002353,-74.005953
"228",40.713888,-74.003384,"Chambers-Brooklyn Bridge",305,40.715688,40.712088,-74.001584,-74.005184
"229",40.714629,-74.00815,"Chambers-World Trade Ctr-Park Pl",216,40.716429,40.712829,-74.00635,-74.00995
"230",40.682905,-73.910456,"Chauncey St",317,40.684705,40.681105,-73.908656,-73.912256
"231",40.734074,-74.002529,"Christopher St",8,40.735874,40.732274,-74.000729,-74.004329
"232",40.650817,-73.949581,"Church Ave",94,40.652617,40.649017,-73.947781,-73.951381
"233",40.644355,-73.979696,"Church Ave",344,40.646155,40.642555,-73.977896,-73.981496
"234",40.650511,-73.962888,"Church Ave",384,40.652311,40.648711,-73.961088,-73.964688
"235",40.71361,-74.006724,"City Hall-Broadway",373,40.71541,40.71181,-74.004924,-74.008524
"236",40.69745,-73.992984,"Clark St",72,40.69925,40.69565,-73.991184,-73.994784
"237",40.688865,-73.959987,"Classon Ave",280,40.690665,40.687065,-73.958187,-73.961787
"238",40.679814,-73.88493,"Cleveland St",320,40.681614,40.678014,-73.88313,-73.88673
"239",40.683335,-73.964704,"Clinton-Washington Aves",222,40.685135,40.681535,-73.962904,-73.966504
"240",40.68808,-73.966855,"Clinton-Washington Aves",279,40.68988,40.68628,-73.965055,-73.968655
"241",40.640853,-73.963821,"Cortelyou Rd",386,40.642653,40.639053,-73.962021,-73.965621
"242",40.712165,-74.012134,"Cortlandt St-Greenwich St",3,40.713965,40.710365,-74.010334,-74.013934
"243",40.711018,-74.01077,"Cortlandt St-Trinity Pl",374,40.712818,40.709218,-74.00897,-74.01257
"244",40.693781,-73.99058,"Court St-Borough Hall",377,40.695581,40.691981,-73.98878,-73.99238
"245",40.6923,-73.989485,"Court St-Borough Hall",100,40.6941,40.6905,-73.987685,-73.991285
"246",40.68312,-73.873928,"Crescent St",322,40.68492,40.68132,-73.872128,-73.875728
"247",40.805481,-73.914272,"Cypress Ave",140,40.807281,40.803681,-73.912472,-73.916072
"248",40.689806,-73.87317,"Cypress Hills",323,40.691606,40.688006,-73.87137,-73.87497
"249",40.703864,-73.918439,"DeKalb Ave",449,40.705664,40.702064,-73.916639,-73.920239
"250",40.68985,-73.981266,"DeKalb Ave",379,40.69165,40.68805,-73.979466,-73.983066
"251",40.718542,-73.988197,"Delancey-Essex Sts",300,40.720342,40.716742,-73.986397,-73.989997
"252",40.774874,-73.911427,"Ditmars Blvd",360,40.776674,40.773074,-73.909627,-73.913227
"253",40.63609,-73.978245,"Ditmas Ave",345,40.63789,40.63429,-73.976445,-73.980045
